id|atm_id|trans_date|bal
1640|5|2002-02-19|143
1641|5|2002-02-20|123
1642|5|2002-02-21|432
1643|5|2002-02-22|802
1644|5|2002-02-23|782
1645|5|2002-02-24|380
1646|5|2002-02-25|119
1647|5|2002-02-26|135
1648|5|2002-02-27|728
1649|5|2002-02-28|496
1650|5|2002-03-01|767
1651|5|2002-03-02|778
1652|5|2002-03-03|584
1653|5|2002-03-04|144
1654|5|2002-03-05|169
1655|5|2002-03-06|649
1656|5|2002-03-07|640
1657|5|2002-03-08|889
1658|5|2002-03-09|1235
1659|5|2002-03-10|439
1660|5|2002-03-11|84
1661|5|2002-03-12|134
1662|5|2002-03-13|304
1663|5|2002-03-14|489
1664|5|2002-03-15|783
1665|5|2002-03-16|911
1666|5|2002-03-17|431
1667|5|2002-03-18|291
1668|5|2002-03-19|105
1669|5|2002-03-20|80
1670|5|2002-03-21|1005
1671|5|2002-03-22|2288
1672|5|2002-03-23|1317
1673|5|2002-03-24|1030
1674|5|2002-03-25|895
1675|5|2002-03-26|2281
1676|5|2002-03-27|4486
1677|5|2002-03-28|4466
1678|5|2002-03-29|1727
1679|5|2002-03-30|1263
1680|5|2002-03-31|3057
1681|5|2002-04-01|2976
1682|5|2002-04-02|1361
1683|5|2002-04-03|1313
1684|5|2002-04-04|2533
1685|5|2002-04-05|2979
1686|5|2002-04-06|2671
1687|5|2002-04-07|698
1688|5|2002-04-08|61
1689|5|2002-04-09|177
1690|5|2002-04-10|181
1691|5|2002-04-11|1285
1692|5|2002-04-12|1421
1693|5|2002-04-13|1288
1694|5|2002-04-14|587
1695|5|2002-04-15|117
1696|5|2002-04-16|97
1697|5|2002-04-17|81
1698|5|2002-04-18|1527
1699|5|2002-04-19|1300
1700|5|2002-04-20|1748
1701|5|2002-04-21|590
1702|5|2002-04-22|83
1703|5|2002-04-23|111
1704|5|2002-04-24|163
1705|5|2002-04-25|1785
1706|5|2002-04-26|3448
1707|5|2002-04-27|1994
1708|5|2002-04-28|1005
1709|5|2002-04-29|1084
1710|5|2002-04-30|1181
1711|5|2002-05-01|848
1712|5|2002-05-02|534
1713|5|2002-05-03|514
1714|5|2002-05-04|1190
1715|5|2002-05-05|833
1716|5|2002-05-06|974
1717|5|2002-05-07|2261
1718|5|2002-05-08|2749
1719|5|2002-05-09|1433
1720|5|2002-05-10|2685
1721|5|2002-05-11|3678
1722|5|2002-05-12|2029
1723|5|2002-05-13|760
1724|5|2002-05-14|926
1725|5|2002-05-15|1826
1726|5|2002-05-16|3052
1727|5|2002-05-17|4188
1728|5|2002-05-18|2048
1729|5|2002-05-19|2276
1730|5|2002-05-20|1261
1731|5|2002-05-21|1055
1732|5|2002-05-22|1395
1733|5|2002-05-23|1876
1734|5|2002-05-24|2596
1735|5|2002-05-25|1858
1736|5|2002-05-26|1312
1737|5|2002-05-27|799
1738|5|2002-05-28|1759
1739|5|2002-05-29|2187
1740|5|2002-05-30|2743
1741|5|2002-05-31|4656
1742|5|2002-06-01|3657
1743|5|2002-06-02|1107
1744|5|2002-06-03|83
1745|5|2002-06-04|59
1746|5|2002-06-05|82
1747|5|2002-06-06|1009
1748|5|2002-06-07|1996
1749|5|2002-06-08|1803
1750|5|2002-06-09|714
1751|5|2002-06-10|97
1752|5|2002-06-11|110
1753|5|2002-06-12|84
1754|5|2002-06-13|1385
1755|5|2002-06-14|2150
1756|5|2002-06-15|957
1757|5|2002-06-16|896
1758|5|2002-06-17|51
1759|5|2002-06-18|100
1760|5|2002-06-19|74
1761|5|2002-06-20|1419
1762|5|2002-06-21|3069
1763|5|2002-06-22|2496
1764|5|2002-06-23|1521
1765|5|2002-06-24|1168
1766|5|2002-06-25|1456
1767|5|2002-06-26|2132
1768|5|2002-06-27|3321
1769|5|2002-06-28|5044
1770|5|2002-06-29|3288
1771|5|2002-06-30|1971
1772|5|2002-07-01|1480
1773|5|2002-07-02|1686
1774|5|2002-07-03|2695
1775|5|2002-07-04|3646
1776|5|2002-07-05|5273
1777|5|2002-07-06|4241
1778|5|2002-07-07|2351
1779|5|2002-07-08|1796
1780|5|2002-07-09|1925
1781|5|2002-07-10|3123
1782|5|2002-07-11|4580
1783|5|2002-07-12|6422
1784|5|2002-07-13|5007
1785|5|2002-07-14|3178
1786|5|2002-07-15|2164
1787|5|2002-07-16|3002
1788|5|2002-07-17|3997
1789|5|2002-07-18|6520
1790|5|2002-07-19|7047
1791|5|2002-07-20|5872
1792|5|2002-07-21|3172
1793|5|2002-07-22|2352
1794|5|2002-07-23|2764
1795|5|2002-07-24|4389
1796|5|2002-07-25|6562
1797|5|2002-07-26|8282
1798|5|2002-07-27|5659
1799|5|2002-07-28|3192
1800|5|2002-07-29|2819
1801|5|2002-07-30|3972
1802|5|2002-07-31|4746
1803|5|2002-08-01|5437
1804|5|2002-08-02|8222
1805|5|2002-08-03|6572
1806|5|2002-08-04|3234
1807|5|2002-08-05|2580
1808|5|2002-08-06|2806
1809|5|2002-08-07|3646
1810|5|2002-08-08|5226
1811|5|2002-08-09|8648
1812|5|2002-08-10|5733
1813|5|2002-08-11|2440
1814|5|2002-08-12|1951
1815|5|2002-08-13|2520
1816|5|2002-08-14|2990
1817|5|2002-08-15|4131
1818|5|2002-08-16|6840
1819|5|2002-08-17|5891
1820|5|2002-08-18|2700
1821|5|2002-08-19|1956
1822|5|2002-08-20|1774
1823|5|2002-08-21|2441
1824|5|2002-08-22|3711
1825|5|2002-08-23|5172
1826|5|2002-08-24|3558
1827|5|2002-08-25|1922
1828|5|2002-08-26|1801
1829|5|2002-08-27|2151
1830|5|2002-08-28|2618
1831|5|2002-08-29|3883
1832|5|2002-08-30|5298
1833|5|2002-08-31|4079
1834|5|2002-09-01|2180
1835|5|2002-09-02|1439
1836|5|2002-09-03|1567
1837|5|2002-09-04|2056
1838|5|2002-09-05|3045
1839|5|2002-09-06|4275
1840|5|2002-09-07|2630
1841|5|2002-09-08|1039
1842|5|2002-09-09|104
1843|5|2002-09-10|81
1844|5|2002-09-11|104
1845|5|2002-09-12|1777
1846|5|2002-09-13|3184
1847|5|2002-09-14|2460
1848|5|2002-09-15|968
1849|5|2002-09-16|115
1850|5|2002-09-17|115
1851|5|2002-09-18|80
1852|5|2002-09-19|1156
1853|5|2002-09-20|1552
1854|5|2002-09-21|886
1855|5|2002-09-22|718
1856|5|2002-09-23|61
1857|5|2002-09-24|52
1858|5|2002-09-25|38
1859|5|2002-09-26|2287
1860|5|2002-09-27|3282
1861|5|2002-09-28|2324
1862|5|2002-09-29|1396
1863|5|2002-09-30|918
1864|5|2002-10-01|1226
1865|5|2002-10-02|1753
1866|5|2002-10-03|2270
1867|5|2002-10-04|2465
1868|5|2002-10-05|2818
1869|5|2002-10-06|1479
1870|5|2002-10-07|997
1871|5|2002-10-08|830
1872|5|2002-10-09|1653
1873|5|2002-10-10|2980
1874|5|2002-10-11|2703
1875|5|2002-10-12|2083
1876|5|2002-10-13|1069
1877|5|2002-10-14|754
1878|5|2002-10-15|891
1879|5|2002-10-16|954
1880|5|2002-10-17|1541
1881|5|2002-10-18|1848
1882|5|2002-10-19|1773
1883|5|2002-10-20|925
1884|5|2002-10-21|672
1885|5|2002-10-22|765
1886|5|2002-10-23|1209
1887|5|2002-10-24|1399
1888|5|2002-10-25|1503
1889|5|2002-10-26|1118
1890|5|2002-10-27|723
1891|5|2002-10-28|744
1892|5|2002-10-29|814
1893|5|2002-10-30|1605
1894|5|2002-10-31|1414
1895|5|2002-11-01|1288
1896|5|2002-11-02|1546
1897|5|2002-11-03|984
1898|5|2002-11-04|696
1899|5|2002-11-05|672
1900|5|2002-11-06|771
1901|5|2002-11-07|936
1902|5|2002-11-08|985
1903|5|2002-11-09|1016
1904|5|2002-11-10|790
1905|5|2002-11-11|669
1906|5|2002-11-12|658
1907|5|2002-11-13|750
1908|5|2002-11-14|923
1909|5|2002-11-15|841
1910|5|2002-11-16|880
1911|5|2002-11-17|715
1912|5|2002-11-18|590
1913|5|2002-11-19|619
1914|5|2002-11-20|726
1915|5|2002-11-21|1073
1916|5|2002-11-22|888
1917|5|2002-11-23|988
1918|5|2002-11-24|691
1919|5|2002-11-25|588
1920|5|2002-11-26|814
1921|5|2002-11-27|612
1922|5|2002-11-28|810
1923|5|2002-11-29|887
1924|5|2002-11-30|838
1925|5|2002-12-01|662
1926|5|2002-12-02|590
