Date,Close
5/22/2025,314.31
5/23/2025,314.57
5/27/2025,314.95
5/28/2025,312.84
5/29/2025,311.86
5/30/2025,313.85
6/2/2025,312.68
6/3/2025,312.39
6/4/2025,311.57
6/5/2025,308.98
6/6/2025,307.36
6/9/2025,304.78
6/10/2025,300.43
6/11/2025,301.72
6/12/2025,303.16
6/13/2025,301.91
6/16/2025,296.29
6/17/2025,292.31
6/18/2025,289.63
6/20/2025,287.46
6/23/2025,289.52
6/24/2025,291.47
6/25/2025,285.55
6/26/2025,285.63
6/27/2025,291.55
6/30/2025,292.17
7/1/2025,297.49
7/2/2025,294.63
7/3/2025,294.08
7/7/2025,293.53
7/8/2025,291.67
7/9/2025,293.02
7/10/2025,298.39
7/11/2025,299.91
7/14/2025,301.88
7/15/2025,299.62
7/16/2025,298.9
7/17/2025,300.37
7/18/2025,297.07
7/21/2025,295.74
7/22/2025,299.17
7/23/2025,298.12
7/24/2025,294.48
7/25/2025,298.47
7/28/2025,299.22
7/29/2025,302.67
7/30/2025,303.61
7/31/2025,300.07
8/1/2025,302.89
8/4/2025,304.23
8/5/2025,298.77
8/6/2025,307.66
8/7/2025,307.91
8/8/2025,305.45
8/11/2025,304.36
8/12/2025,301.64
8/13/2025,305.07
8/14/2025,308.95
8/15/2025,308.93
8/18/2025,308.7
8/19/2025,310.93
8/20/2025,313.08
8/21/2025,313.22
8/22/2025,314.07
8/25/2025,313.44
8/26/2025,312.94
8/27/2025,311.43
8/28/2025,312.22
8/29/2025,313.54
9/2/2025,315.76
9/3/2025,316.39
9/4/2025,316.99
9/5/2025,314.38
9/8/2025,312.8
9/9/2025,312.52
9/10/2025,305.94
9/11/2025,308.43
9/12/2025,305.4
9/15/2025,302.07
9/16/2025,303.29
9/17/2025,304.97
9/18/2025,301.14
9/19/2025,302.38
9/22/2025,302.99
9/23/2025,303.19
9/24/2025,304.33
9/25/2025,302.3
9/26/2025,305.24
9/29/2025,302.99
9/30/2025,303.89
10/1/2025,300.52
10/2/2025,299.88
10/3/2025,300.98
10/6/2025,296.04
10/7/2025,296.32
10/8/2025,294.4
10/9/2025,293.81
10/10/2025,297.01
10/13/2025,300.11
10/14/2025,304.56
10/15/2025,305.25
10/16/2025,305.33
10/17/2025,308.09
10/20/2025,307.77
10/21/2025,307.48
10/22/2025,310.11
10/23/2025,306.97
10/24/2025,305.79
10/27/2025,310
10/28/2025,306.4
10/29/2025,302.35
10/30/2025,302.43
10/31/2025,298.43
11/3/2025,296.37
11/4/2025,299.21
11/5/2025,305.67
11/6/2025,298.41
11/7/2025,299.66
11/10/2025,299.1
11/11/2025,306.83
11/12/2025,306.94
11/13/2025,307.58
11/14/2025,307.03
11/17/2025,304.9
11/18/2025,304.59
11/19/2025,302.74
11/20/2025,304.16
11/21/2025,309.35
11/24/2025,304.9
11/25/2025,310.45
11/26/2025,312.4
11/28/2025,311.82
12/1/2025,303.57
12/2/2025,300.72
12/3/2025,307.71
12/4/2025,308.54
12/5/2025,311.23
12/8/2025,309.79
12/9/2025,310.79
12/10/2025,310.53
12/11/2025,309.71
12/12/2025,316.72
12/15/2025,318.73
12/16/2025,314.5
12/17/2025,318.69
12/18/2025,319.65
12/19/2025,315.84
12/22/2025,316.22
12/23/2025,310.84
12/24/2025,313.33
12/26/2025,310.68
12/29/2025,308.53
12/30/2025,308.03
12/31/2025,305.63
1/2/2026,303.26
1/5/2026,299.86
1/6/2026,302.77
1/7/2026,304.16
1/8/2026,308.88
1/9/2026,307.32
1/12/2026,306.75
1/13/2026,309.44
1/14/2026,308.13
1/15/2026,308.62
1/16/2026,307.43
1/20/2026,302.84
